#Device/Package xc7a35tcsg325 12/3/2013 11:23:15                                                                                                   
#                                                                                                        
#Pin  Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
C9   IO_L2N_T0_AD8N_15             0                  15    NA            NA                  HR        NA
B9   IO_L3P_T0_DQS_AD1P_15         0                  15    NA            NA                  HR        NA
A9   IO_L3N_T0_DQS_AD1N_15         0                  15    NA            NA                  HR        NA
C11  IO_L4P_T0_15                  0                  15    NA            NA                  HR        NA
B11  IO_L4N_T0_15                  0                  15    NA            NA                  HR        NA
B10  IO_L5P_T0_AD9P_15             0                  15    NA            NA                  HR        NA
A10  IO_L5N_T0_AD9N_15             0                  15    NA            NA                  HR        NA
D11  IO_L6P_T0_15                  0                  15    NA            NA                  HR        NA
C12  IO_L6N_T0_VREF_15             0                  15    NA            NA                  HR        NA
B12  IO_L7P_T1_AD2P_15             1                  15    NA            NA                  HR        NA
A12  IO_L7N_T1_AD2N_15             1                  15    NA            NA                  HR        NA
A13  IO_L8P_T1_AD10P_15            1                  15    NA            NA                  HR        NA
A14  IO_L8N_T1_AD10N_15            1                  15    NA            NA                  HR        NA
C14  IO_L9P_T1_DQS_AD3P_15         1                  15    NA            NA                  HR        NA
B15  IO_L9N_T1_DQS_AD3N_15         1                  15    NA            NA                  HR        NA
B14  IO_L10P_T1_AD11P_15           1                  15    NA            NA                  HR        NA
A15  IO_L10N_T1_AD11N_15           1                  15    NA            NA                  HR        NA
D13  IO_L11P_T1_SRCC_15            1                  15    NA            NA                  HR        NA
C13  IO_L11N_T1_SRCC_15            1                  15    NA            NA                  HR        NA
E13  IO_L12P_T1_MRCC_15            1                  15    NA            NA                  HR        NA
D14  IO_L12N_T1_MRCC_15            1                  15    NA            NA                  HR        NA
E15  IO_L13P_T2_MRCC_15            2                  15    NA            NA                  HR        NA
D15  IO_L13N_T2_MRCC_15            2                  15    NA            NA                  HR        NA
E16  IO_L14P_T2_SRCC_15            2                  15    NA            NA                  HR        NA
D16  IO_L14N_T2_SRCC_15            2                  15    NA            NA                  HR        NA
B16  IO_L15P_T2_DQS_15             2                  15    NA            NA                  HR        NA
A17  IO_L15N_T2_DQS_ADV_B_15       2                  15    NA            NA                  HR        NA
C16  IO_L16P_T2_A28_15             2                  15    NA            NA                  HR        NA
B17  IO_L16N_T2_A27_15             2                  15    NA            NA                  HR        NA
E17  IO_L17P_T2_A26_15             2                  15    NA            NA                  HR        NA
D18  IO_L17N_T2_A25_15             2                  15    NA            NA                  HR        NA
C17  IO_L18P_T2_A24_15             2                  15    NA            NA                  HR        NA
C18  IO_L18N_T2_A23_15             2                  15    NA            NA                  HR        NA
G17  IO_L19P_T3_A22_15             3                  15    NA            NA                  HR        NA
F18  IO_L19N_T3_A21_VREF_15        3                  15    NA            NA                  HR        NA
H16  IO_L20P_T3_A20_15             3                  15    NA            NA                  HR        NA
G16  IO_L20N_T3_A19_15             3                  15    NA            NA                  HR        NA
G15  IO_L21P_T3_DQS_15             3                  15    NA            NA                  HR        NA
F15  IO_L21N_T3_DQS_A18_15         3                  15    NA            NA                  HR        NA
G14  IO_L22P_T3_A17_15             3                  15    NA            NA                  HR        NA
F14  IO_L22N_T3_A16_15             3                  15    NA            NA                  HR        NA
H17  IO_L23P_T3_FOE_B_15           3                  15    NA            NA                  HR        NA
H18  IO_L23N_T3_FWE_B_15           3                  15    NA            NA                  HR        NA
F17  IO_L24P_T3_RS1_15             3                  15    NA            NA                  HR        NA
E18  IO_L24N_T3_RS0_15             3                  15    NA            NA                  HR        NA
H14  IO_25_15                      NA                 15    NA            NA                  HR        NA
J6   IO_0_34                       NA                 34    NA            NA                  HR        NA
K6   IO_L1P_T0_34                  0                  34    NA            NA                  HR        NA
K5   IO_L1N_T0_34                  0                  34    NA            NA                  HR        NA
J5   IO_L2P_T0_34                  0                  34    NA            NA                  HR        NA
J4   IO_L2N_T0_34                  0                  34    NA            NA                  HR        NA
K2   IO_L3P_T0_DQS_34              0                  34    NA            NA                  HR        NA
K1   IO_L3N_T0_DQS_34              0                  34    NA            NA                  HR        NA
K3   IO_L4P_T0_34                  0                  34    NA            NA                  HR        NA
L2   IO_L4N_T0_34                  0                  34    NA            NA                  HR        NA
L4   IO_L5P_T0_34                  0                  34    NA            NA                  HR        NA
L3   IO_L5N_T0_34                  0                  34    NA            NA                  HR        NA
L5   IO_L6P_T0_34                  0                  34    NA            NA                  HR        NA
M5   IO_L6N_T0_VREF_34             0                  34    NA            NA                  HR        NA
M2   IO_L7P_T1_34                  1                  34    NA            NA                  HR        NA
M1   IO_L7N_T1_34                  1                  34    NA            NA                  HR        NA
M6   IO_L8P_T1_34                  1                  34    NA            NA                  HR        NA
N6   IO_L8N_T1_34                  1                  34    NA            NA                  HR        NA
N1   IO_L9P_T1_DQS_34              1                  34    NA            NA                  HR        NA
P1   IO_L9N_T1_DQS_34              1                  34    NA            NA                  HR        NA
M4   IO_L10P_T1_34                 1                  34    NA            NA                  HR        NA
N4   IO_L10N_T1_34                 1                  34    NA            NA                  HR        NA
N3   IO_L11P_T1_SRCC_34            1                  34    NA            NA                  HR        NA
N2   IO_L11N_T1_SRCC_34            1                  34    NA            NA                  HR        NA
P4   IO_L12P_T1_MRCC_34            1                  34    NA            NA                  HR        NA
P3   IO_L12N_T1_MRCC_34            1                  34    NA            NA                  HR        NA
R2   IO_L13P_T2_MRCC_34            2                  34    NA            NA                  HR        NA
R1   IO_L13N_T2_MRCC_34            2                  34    NA            NA                  HR        NA
R3   IO_L14P_T2_SRCC_34            2                  34    NA            NA                  HR        NA
T2   IO_L14N_T2_SRCC_34            2                  34    NA            NA                  HR        NA
U2   IO_L15P_T2_DQS_34             2                  34    NA            NA                  HR        NA
U1   IO_L15N_T2_DQS_34             2                  34    NA            NA                  HR        NA
V3   IO_L16P_T2_34                 2                  34    NA            NA                  HR        NA
V2   IO_L16N_T2_34                 2                  34    NA            NA                  HR        NA
T4   IO_L17P_T2_34                 2                  34    NA            NA                  HR        NA
T3   IO_L17N_T2_34                 2                  34    NA            NA                  HR        NA
U4   IO_L18P_T2_34                 2                  34    NA            NA                  HR        NA
V4   IO_L18N_T2_34                 2                  34    NA            NA                  HR        NA
P6   IO_L19P_T3_34                 3                  34    NA            NA                  HR        NA
P5   IO_L19N_T3_VREF_34            3                  34    NA            NA                  HR        NA
U6   IO_L20P_T3_34                 3                  34    NA            NA                  HR        NA
U5   IO_L20N_T3_34                 3                  34    NA            NA                  HR        NA
R5   IO_L21P_T3_DQS_34             3                  34    NA            NA                  HR        NA
T5   IO_L21N_T3_DQS_34             3                  34    NA            NA                  HR        NA
R7   IO_L22P_T3_34                 3                  34    NA            NA                  HR        NA
T7   IO_L22N_T3_34                 3                  34    NA            NA                  HR        NA
U7   IO_L23P_T3_34                 3                  34    NA            NA                  HR        NA
V6   IO_L23N_T3_34                 3                  34    NA            NA                  HR        NA
V8   IO_L24P_T3_34                 3                  34    NA            NA                  HR        NA
V7   IO_L24N_T3_34                 3                  34    NA            NA                  HR        NA
R6   IO_25_34                      NA                 34    NA            NA                  HR        NA
A6   MGTRREF_216                   NA                 216   NA            NA                  GTP       NA
D5   MGTREFCLK0N_216               NA                 216   NA            NA                  GTP       NA
D6   MGTREFCLK0P_216               NA                 216   NA            NA                  GTP       NA
A4   MGTPRXP1_216                  NA                 216   NA            NA                  GTP       NA
C4   MGTPRXP2_216                  NA                 216   NA            NA                  GTP       NA
G4   MGTPRXP3_216                  NA                 216   NA            NA                  GTP       NA
E4   MGTPRXP0_216                  NA                 216   NA            NA                  GTP       NA
B2   MGTPTXP3_216                  NA                 216   NA            NA                  GTP       NA
D2   MGTPTXP2_216                  NA                 216   NA            NA                  GTP       NA
B6   MGTREFCLK1P_216               NA                 216   NA            NA                  GTP       NA
B5   MGTREFCLK1N_216               NA                 216   NA            NA                  GTP       NA
A3   MGTPRXN1_216                  NA                 216   NA            NA                  GTP       NA
C3   MGTPRXN2_216                  NA                 216   NA            NA                  GTP       NA
G3   MGTPRXN3_216                  NA                 216   NA            NA                  GTP       NA
E3   MGTPRXN0_216                  NA                 216   NA            NA                  GTP       NA
B1   MGTPTXN3_216                  NA                 216   NA            NA                  GTP       NA
D1   MGTPTXN2_216                  NA                 216   NA            NA                  GTP       NA
F2   MGTPTXP1_216                  NA                 216   NA            NA                  GTP       NA
F1   MGTPTXN1_216                  NA                 216   NA            NA                  GTP       NA
H2   MGTPTXP0_216                  NA                 216   NA            NA                  GTP       NA
H1   MGTPTXN0_216                  NA                 216   NA            NA                  GTP       NA
G12  VCCAUX                        NA                 NA    NA            NA                  NA        NA
H13  VCCAUX                        NA                 NA    NA            NA                  NA        NA
K13  VCCAUX                        NA                 NA    NA            NA                  NA        NA
M13  VCCAUX                        NA                 NA    NA            NA                  NA        NA
P13  VCCAUX                        NA                 NA    NA            NA                  NA        NA
F7   VCCINT                        NA                 NA    NA            NA                  NA        NA
F9   VCCINT                        NA                 NA    NA            NA                  NA        NA
G8   VCCINT                        NA                 NA    NA            NA                  NA        NA
H7   VCCINT                        NA                 NA    NA            NA                  NA        NA
H9   VCCINT                        NA                 NA    NA            NA                  NA        NA
J8   VCCINT                        NA                 NA    NA            NA                  NA        NA
J12  VCCINT                        NA                 NA    NA            NA                  NA        NA
K7   VCCINT                        NA                 NA    NA            NA                  NA        NA
K11  VCCINT                        NA                 NA    NA            NA                  NA        NA
L8   VCCINT                        NA                 NA    NA            NA                  NA        NA
L12  VCCINT                        NA                 NA    NA            NA                  NA        NA
M7   VCCINT                        NA                 NA    NA            NA                  NA        NA
M11  VCCINT                        NA                 NA    NA            NA                  NA        NA
N8   VCCINT                        NA                 NA    NA            NA                  NA        NA
N10  VCCINT                        NA                 NA    NA            NA                  NA        NA
N12  VCCINT                        NA                 NA    NA            NA                  NA        NA
P9   VCCINT                        NA                 NA    NA            NA                  NA        NA
P11  VCCINT                        NA                 NA    NA            NA                  NA        NA
A1   GND                           NA                 NA    NA            NA                  NA        NA
A5   GND                           NA                 NA    NA            NA                  NA        NA
A7   GND                           NA                 NA    NA            NA                  NA        NA
A8   GND                           NA                 NA    NA            NA                  NA        NA
A11  GND                           NA                 NA    NA            NA                  NA        NA
A18  GND                           NA                 NA    NA            NA                  NA        NA
B3   GND                           NA                 NA    NA            NA                  NA        NA
B7   GND                           NA                 NA    NA            NA                  NA        NA
B8   GND                           NA                 NA    NA            NA                  NA        NA
B18  GND                           NA                 NA    NA            NA                  NA        NA
C2   GND                           NA                 NA    NA            NA                  NA        NA
C6   GND                           NA                 NA    NA            NA                  NA        NA
C7   GND                           NA                 NA    NA            NA                  NA        NA
C15  GND                           NA                 NA    NA            NA                  NA        NA
D3   GND                           NA                 NA    NA            NA                  NA        NA
D4   GND                           NA                 NA    NA            NA                  NA        NA
D7   GND                           NA                 NA    NA            NA                  NA        NA
D12  GND                           NA                 NA    NA            NA                  NA        NA
E2   GND                           NA                 NA    NA            NA                  NA        NA
E6   GND                           NA                 NA    NA            NA                  NA        NA
E7   GND                           NA                 NA    NA            NA                  NA        NA
E9   GND                           NA                 NA    NA            NA                  NA        NA
F4   GND                           NA                 NA    NA            NA                  NA        NA
F6   GND                           NA                 NA    NA            NA                  NA        NA
F10  GND                           NA                 NA    NA            NA                  NA        NA
F16  GND                           NA                 NA    NA            NA                  NA        NA
G1   GND                           NA                 NA    NA            NA                  NA        NA
G5   GND                           NA                 NA    NA            NA                  NA        NA
G6   GND                           NA                 NA    NA            NA                  NA        NA
G7   GND                           NA                 NA    NA            NA                  NA        NA
G9   GND                           NA                 NA    NA            NA                  NA        NA
G11  GND                           NA                 NA    NA            NA                  NA        NA
G13  GND                           NA                 NA    NA            NA                  NA        NA
H3   GND                           NA                 NA    NA            NA                  NA        NA
H4   GND                           NA                 NA    NA            NA                  NA        NA
H5   GND                           NA                 NA    NA            NA                  NA        NA
H6   GND                           NA                 NA    NA            NA                  NA        NA
H8   GND                           NA                 NA    NA            NA                  NA        NA
H10  GND                           NA                 NA    NA            NA                  NA        NA
H12  GND                           NA                 NA    NA            NA                  NA        NA
J1   GND                           NA                 NA    NA            NA                  NA        NA
J2   GND                           NA                 NA    NA            NA                  NA        NA
J3   GND                           NA                 NA    NA            NA                  NA        NA
J7   GND                           NA                 NA    NA            NA                  NA        NA
J11  GND                           NA                 NA    NA            NA                  NA        NA
J13  GND                           NA                 NA    NA            NA                  NA        NA
J17  GND                           NA                 NA    NA            NA                  NA        NA
K4   GND                           NA                 NA    NA            NA                  NA        NA
K8   GND                           NA                 NA    NA            NA                  NA        NA
K12  GND                           NA                 NA    NA            NA                  NA        NA
K14  GND                           NA                 NA    NA            NA                  NA        NA
L1   GND                           NA                 NA    NA            NA                  NA        NA
L7   GND                           NA                 NA    NA            NA                  NA        NA
L11  GND                           NA                 NA    NA            NA                  NA        NA
L13  GND                           NA                 NA    NA            NA                  NA        NA
M8   GND                           NA                 NA    NA            NA                  NA        NA
M12  GND                           NA                 NA    NA            NA                  NA        NA
M18  GND                           NA                 NA    NA            NA                  NA        NA
N5   GND                           NA                 NA    NA            NA                  NA        NA
N7   GND                           NA                 NA    NA            NA                  NA        NA
N9   GND                           NA                 NA    NA            NA                  NA        NA
N11  GND                           NA                 NA    NA            NA                  NA        NA
N13  GND                           NA                 NA    NA            NA                  NA        NA
N15  GND                           NA                 NA    NA            NA                  NA        NA
P2   GND                           NA                 NA    NA            NA                  NA        NA
P8   GND                           NA                 NA    NA            NA                  NA        NA
P12  GND                           NA                 NA    NA            NA                  NA        NA
R9   GND                           NA                 NA    NA            NA                  NA        NA
T6   GND                           NA                 NA    NA            NA                  NA        NA
T16  GND                           NA                 NA    NA            NA                  NA        NA
U3   GND                           NA                 NA    NA            NA                  NA        NA
U13  GND                           NA                 NA    NA            NA                  NA        NA
V1   GND                           NA                 NA    NA            NA                  NA        NA
V10  GND                           NA                 NA    NA            NA                  NA        NA
V18  GND                           NA                 NA    NA            NA                  NA        NA
E10  VCCO_0                        NA                 0     NA            NA                  NA        NA
R10  VCCO_0                        NA                 0     NA            NA                  NA        NA
L16  VCCO_14                       NA                 14    NA            NA                  NA        NA
P17  VCCO_14                       NA                 14    NA            NA                  NA        NA
R14  VCCO_14                       NA                 14    NA            NA                  NA        NA
T11  VCCO_14                       NA                 14    NA            NA                  NA        NA
U8   VCCO_14                       NA                 14    NA            NA                  NA        NA
U18  VCCO_14                       NA                 14    NA            NA                  NA        NA
V15  VCCO_14                       NA                 14    NA            NA                  NA        NA
A16  VCCO_15                       NA                 15    NA            NA                  NA        NA
B13  VCCO_15                       NA                 15    NA            NA                  NA        NA
C10  VCCO_15                       NA                 15    NA            NA                  NA        NA
D17  VCCO_15                       NA                 15    NA            NA                  NA        NA
E14  VCCO_15                       NA                 15    NA            NA                  NA        NA
G18  VCCO_15                       NA                 15    NA            NA                  NA        NA
H15  VCCO_15                       NA                 15    NA            NA                  NA        NA
L6   VCCO_34                       NA                 34    NA            NA                  NA        NA
M3   VCCO_34                       NA                 34    NA            NA                  NA        NA
P7   VCCO_34                       NA                 34    NA            NA                  NA        NA
R4   VCCO_34                       NA                 34    NA            NA                  NA        NA
T1   VCCO_34                       NA                 34    NA            NA                  NA        NA
V5   VCCO_34                       NA                 34    NA            NA                  NA        NA
F11  VCCBRAM                       NA                 NA    NA            NA                  NA        NA
G10  VCCBRAM                       NA                 NA    NA            NA                  NA        NA
H11  VCCBRAM                       NA                 NA    NA            NA                  NA        NA
B4   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
C5   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
E5   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
F5   MGTAVCC                       NA                 NA    NA            NA                  NA        NA
A2   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
C1   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
E1   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
F3   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
G2   MGTAVTT                       NA                 NA    NA            NA                  NA        NA
#                                                                                                        
#Total Number of Pins, 324                                                                                                   
